Rest_Name, Street Address, City, State
Lees Avenue,1001 Electric St, Odessa, Texas
Wowmoms World Midland,4425 W Wadley Ave, Odessa, Texas
The Fuel Bar,610 N Big Spring St, Odessa, Texas
