Rest_Name, Street Address, City, State
Panera Bread,4407 98th St, Lubbock, Texas
Growler USA - Lubbock,6030 Marsha Sharp Fwy, Lubbock, Texas
Costa Vida,4410 114th St., Lubbock, Texas
Jimmys Egg,6253 Slide Rd, Lubbock, Texas
Tropical Nail Spa,9810 Slide Rd, Lubbock, Texas
