Rest_Name, Street Address, City, State
Panera Bread,1000 S 8th St, Waco, Texas
Waco Ale Co,806 Austin Ave, Waco, Texas
Our Breakfast Place,4600 Franklin Ave, Waco, Texas
Fabled Bookshop & Cafe,215 S 4th St, Waco, Texas
Revival Eastside Eatery,704 Elm Ave, Waco, Texas
Main Street Cafe & Steaks,263 Live Oak St, Waco, Texas
Dumplings Taste,307 North 8th St, Waco, Texas
Deka Lash,201 E Central Texas Expy, Waco, Texas
